Article Title,Category,references,query_1,query_2
羅莎·帕克斯,1913年出生,羅莎·路易絲·麥考利·帕克斯（英語：Rosa Louise McCauley Parks，1913年2月4日—2005年10月24日），美國黑人民權行動主義者。 1955年，她在公車上拒絕讓座給白人而遭逮捕，引發聯合抵制蒙哥馬利公車運動。 美國國會後來稱她為「現代民權運動之母」。 她的生日2月4日和被捕当日12月1日都成为罗莎·帕克斯节，在加利福尼亚州和俄亥俄州定期纪念。 ### 當年實施《吉姆克勞法》，有白人與黑人分開座位的規定，在1955年12月1日，公車司機詹姆斯·F·布萊克因白人座位已滿所以命令帕克斯將其使用的「黑人座位」讓位給一名白人乘客，但帕克斯拒絕聽從司機命令而遭受警方逮捕。 帕克斯不是第一个反对公车隔离政策的人。 其他人，包括1946年的艾琳·摩根，1955年的莎拉·路易斯·凯斯，以及几个月前在蒙哥马利被捕的“布劳德诉盖尔”案件成员。 当美国全国有色人种协进会的组织者看到她在法庭上的斗争时，相信帕克斯是用公民不服从来对抗阿拉巴马隔离法案最合适的人选，虽然她最终在法庭上失败，而“布劳德诉盖尔”则获得成功。 ### 帕克斯的反抗，以及蒙哥马利公车抵制成为现代非裔美国人民权运动的重要标志。 她成为国际反种族隔离的标志人物。 她与其它民权运动领袖，如协会地方分会主席埃德加·尼克松，牧师馬丁·路德·金一道合作，组织活动。 她之後也積極參與1960年代後期較激進的「黑人權力」運動，並參觀奧克蘭的黑豹黨學校。 ### 此时，帕克斯是蒙哥马利地方协会的秘书。 她曾在高地民间学校就读，后者是田纳西培训工人维权和种族平等运动者的中心。 她扮演着“厌倦屈服”的普通市民的角色，虽然她在日后获得众多荣誉，但是在当时备受打压；她在当地百货楼做女裁缝，遭到了解聘。 最后，她来到了底特律，暂时从事着类似的工作。 ### 从1965年到1988年，她成为非裔美国众议院约翰·科尼尔斯的秘书和接待。 退休后，帕克斯出版了自传，平静地生活。 晚年，帕克斯患上了痴呆症。 帕克斯获得众多荣誉。,罗莎·帕克斯在公车上拒绝让座事件后，除了1955年的蒙哥马利公车抵制运动，她还参与了哪些民权运动和活动？请详细说明她的贡献和参与情况。,  
第一大总统,2011年中国电影作品,《第一大总统》，又名《国父孙中山》，2011年上映于中国大陆的传记片、史诗片，导演王才涛，主演邱心志、聂玫、刘劲、韩庚、何洁、张峻宁、姚居德等。 该片从1912年孙中山担当“中华民国临时大总统”开始讲述孙中山波澜壮阔的人生故事。 该片是为辛亥革命一百周年献礼片。 首映是在北京市。 ### 该片汇集了老中青三代演员。 该片制片商是中国电影家协会、中国电影股份有限公司，三横一竖影视文化传媒有限公司、江苏华红影视投资有限公司、奥山影视文化有限公司。 该片中加入了爱情元素。 该片中演员的跨界发展没有达到预想效果的成功。 ### 田亮曾经是中国跳水运动员，获得过奥运会的金牌，现在转换当演员。,电影《第一大总统》在演员的跨界发展方面遇到了哪些挑战和结果？,  
沙洛城,1764年建立,"夏洛特敦（英語：Charlottetown，英語發音：/ˈʃɑːrləttaʊn/；法语发音：[ʃaʁlɔt.tawn]，蘇格蘭蓋爾語：Baile Sheàrlot，加國本土譯為沙洛城），或稱夏綠蒂鎮，加拿大城市，該國愛德華王子島省的首府和最大城市，以及該省皇后縣的縣治。 根據2011年人口普查，夏洛特敦市人口有34,562，而夏洛特敦普查聚集區（census agglomeration）則有64,487人，約佔該省總人口（140,204）的半數。 部分法國裔民眾於1720年從路易堡遷至聖讓島（Île Saint-Jean，即愛德華王子島舊稱），並於現夏洛特敦的對岸並建立拉喬伊港（英语：Port La-Joye / Fort Amherst），成為最早在該帶定居的歐洲人。 喬治王戰爭（英语：King Georges War）（1744年-1748年）期間，英軍一度佔領拉喬伊港，但法軍派遣的500人部隊卻成功奪回該處。 ### 英軍於1758年8月（即法國－印第安人戰爭期間）再度奪取拉喬伊港，驅逐當地法裔居民，並於拉喬伊港聚落的遺址建立阿默斯特堡（英语：Port La-Joye / Fort Amherst）以保護海港的出入口。 英法兩國於1763年簽訂《巴黎和約》，法國正式割讓聖讓島予英國。 英國將島嶼名稱英語化成聖約翰島（St. John's Island），並將之劃分成三個縣。 1764年，森姆·荷蘭（英语：Samuel Holland）船長在島上進行勘探，將現夏洛特敦定為皇后縣的縣治，並將之名為「Charlotte Town」以紀念英王喬治三世的夫人夏綠蒂王后。 ### 夏洛特敦再於1765年成為聖約翰島殖民地的首府，而鎮内的街道網絡和廣場佈局亦於1768年至1771年間陸續成型。 殖民地政府和軍事設施則於19世紀初至中葉間相繼落成，包括愛德華堡軍事基地（1805年）、總督府（1835年）和殖民地議會大樓（1847年；後改稱省政府大樓）。 夏洛特敦於1855年4月17日正式設市，當時人口約有6,000，市議會首場會議則於同年8月11日召開。 1864年9月，英屬北美眾殖民地的代表在市内召開查洛頓會議，就成立加拿大邦聯事宜展開首輪會談。 ### 愛德華王子島於1873年7月1日正式加盟加拿大，首府依舊設於夏洛特敦。 愛德華王子島鐵路（英语：Prince Edward Island Railway）於1874年8月通車，連接夏洛特敦和薩默賽德，並帶動夏洛特敦市内的工業發展。 市内首間醫院夏洛特敦醫院（英语：Charlottetown Hospital）於1879年開幕，由天主教夏洛特敦教區營運，而公營的愛德華王子島醫院（英语：Prince Edward Island Hospital）則於1884年開幕。 斯普林帕克村（Spring Park）於1959年併入夏洛特敦市，而舍伍德、帕克代爾（英语：Parkdale, Prince Edward Island）、溫斯洛（英语：Winsloe, Prince Edward Island）、西羅尤提（英语：West Royalty, Prince Edward Island）和東羅尤提（英语：East Royalty, Prince Edward Island）再於1995年與夏洛特敦市合併。 ### 夏洛特敦位處愛德華王子島的中央地帶，順理成章發展成該省的交通樞紐。 夏洛特敦機場（英语：Charlottetown Airport）是全省唯一提供定期客運航班的機場，每年客流量約有280,000人次。 1號省道（英语：Route 1 (Prince Edward Island)）貫穿夏洛特敦市，西接聯邦大橋，東通諾森伯倫渡輪碼頭（英语：Northumberland Ferries Limited），構成橫加公路一部分；而2號省道（英语：Route 2 (Prince Edward Island)）亦於夏洛特敦市内與1號省道交匯。 愛德華王子島鐵路（英语：Prince Edward Island Railway）於1989年停駛前，夏洛特敦也曾是該鐵路系統的中心。",夏洛特敦在其歷史上經歷了哪些重要的軍事和政治事件，使其成為愛德華王子島的首府和交通樞紐？,描述夏洛特敦市在19世紀至20世紀間的基礎設施和城市擴張過程，包括主要的醫療設施和周邊村莊的合併情況。
巴拉圭—日本關係,CS1含有日语文本 (ja),"日本－巴拉圭关系（日语：日本とパラグアイの関係, 西班牙語：Relaciones entre Japón y Paraguay）是指日本国和巴拉圭的外交关系。 两国在政治、经贸与文化等领域交流频繁，关系紧密。 巴拉圭也被認為是世界上最親日的國家之一。 目前，两国互设大使馆，日本还在日侨较多的巴拉圭城市恩卡纳西翁设有领事馆。 ### 两国关系可以追溯到1912年，当时即有一名为佐幸田兼藏的日本人移民至巴拉圭，在卡萨多港的单宁工厂务工。 在1916年，另一个日本人福岡庄太郎则从北美洲迁来巴拉圭亚松森。 巴拉圭于1919年11月17日与日本签署贸易协定并于当日建交，1922年以后，两国亦互派使节，日本也是巴拉圭在亚洲的第一个邦交国。 1936年，长期为日本人移民热门国家的巴西对日本人施加移民限制。 ### 但當時的巴拉圭總統尤塞比奥·阿亚拉同意日本人移民到巴拉圭，因此，日裔巴西人開始在巴拉圭尋找移住地，其后，在日裔巴西人宮坂国人的协助下，第一批日侨移民在巴拉圭的巴拉瓜里省拉科尔梅纳镇定居下来，在当地开展垦殖，种植蔬菜水果。 第二次世界大战爆发后，巴拉圭国内的军官和政府官员公开同情包括日本在内的轴心国。 而当时的巴拉圭的警察局长甚至以德国元首希特勒、日本天皇裕仁的名字给自己的儿子取名为阿道夫·裕仁。 尽管如此，1941年12月，珍珠港事件后，在美国的压力下，巴拉圭还是于1942年1月28日与日本断交，並派出軍隊接管拉科爾梅納等日僑移民村。 ### 1945年2月7日，巴拉圭对日本宣战。 1951年9月8日，旧金山和约签订，日本与巴拉圭均参与签订了合约，其后，日本政府于1951年11月28日批准该和约，两国亦于1953年1月15日复交。 1956年，日本也在巴拉圭首都亚松森建立了公使馆，并于1961年升格为大使馆。 同时，第二批日侨移民开始到巴拉圭南部伊塔普阿省的皮拉波和拉帕斯，以及上巴拉那省的伊瓜苏镇。 ### 自1954年史托斯纳尔发动政变以来，巴拉圭一直与日本保持着非常友好的关系，史托斯纳尔总统与明治天皇同日（11月3日）生日，曾自称为“明治天皇的转世”，其人在任期间亦于每年十二月前往拉科尔梅纳视察工作。 史托斯纳尔对于日本明治维新、战后经济的复苏拥有兴趣，更于1972年访问日本。 史托斯纳尔下台后，两国仍然维持着较好的关系。 1989年，巴拉圭政府决定无限期延长1959年两国签署的移民协定的有效期，据协定，巴拉圭可以接纳8万5千余日侨。",巴拉圭在第二次世界大战期间采取了哪些措施对待日本移民，且这些措施的背景是什么？,描述巴拉圭与日本自1951年复交以来在外交使节和移民政策上的重大变化和发展。
南安礁,使用WikiMiniAtlas小工具的页面,南安礁位于南沙群岛南部，是北康暗沙东南部一个暗礁，地处盟谊暗沙以南约24海里，水深4～11米，最浅处水深2.7米。 1935年中华民国水陆地图审查委员会公布的名称为“破海马滩”。 1947年中华民国内政部方域司公布的和1983年中华人民共和国中国地名委员会公布的标准名称均为“南安礁”。 有些外文资料称作“Sea-horse Breakers”。 ### 南安礁现由马来西亚政府实际控制，中华人民共和国政府亦声称拥有其主权。,南安礁在1935年中华民国水陆地图审查委员会公布的名称是什么？请详细解释其命名背景。,
靈泉禪寺,1903年台灣建立,25°06′59″N 121°45′51″E﻿ / ﻿25.116303°N 121.764198°E﻿ / 25.116303; 121.764198 靈泉禪寺，是位於臺灣基隆市信義區智誠里的曹洞宗佛寺，為臺灣佛教四大法脈的月眉山派本山，附屬建築列為基隆市文化資產歷史建築。 昔日此寺所在處是基隆經暖暖通往台北的要道，開山堂1891年成立，為俗名江雀的德緣尼師的父親與叔父所建，當時是文人雅士聚會重要場所。 後面設有靈塔，相傳起初是收容未出嫁女子的靈骨。 開山堂旁邊有稱為「靈泉」的泉水，終年水湧不斷。 ### 1900年，福州湧泉寺善智與妙密法師渡海來基隆奠濟宮宣教，因信眾眾多，由信徒林來發捐出月眉山大水窟庄菜園坡地一甲多建寺，次年動工。 在善慧法師的帶領下，陸續完成佛殿、禪堂等工程，建築係四合院式，前殿為奉祀彌勒菩薩、兩側配祀四大天王，正殿供奉本尊釋迦佛，並從緬甸迎來白玉佛像五尊，由福建名匠林起鳳師雕塑佛菩薩、十六尊者、護法諸天等聖像。 1903年，開山祖善慧法師邀各方大德觀禮，由湧泉寺性進法師取名「靈泉寺」。 此寺在日治時期為台灣佛教四大法脈之一，是北臺灣佛教的發祥寺廟之一。 ### 虛雲法師曾來此拜訪。 民國六年太虛法師曾蒞臨參與盛會，並發表演說，內容如下:五蘊幻體從煩惱業緣生，煩惱業緣從無明妄想生，無明妄想從覺心轉動生，而本覺真心無所從生，故無所依住。 徹悟本心之無所依住，淨除諸念，猶如虛空。 虛空無依無住，亦無虛空可為餘法依住，亦無少法能依虛空而住，則風輪亦以無所依故無所住，風輪且無所住，況水氣輪、地輪、人物之輾轉依風輪而住者乎？ ### 由是一切諸法，皆無所依住，以無所依住故，無住生心，生心無住；所謂一切法不生而般若生，般若生而一切法不生也。 佛教學者江燦騰在著作《二十世紀台灣佛教的轉型與發展中》，特別以靈泉寺的發展來說明日治時代的臺灣佛教。 日本統治臺灣後，希望以臺灣和日本共同的佛教信仰來進行民族聯誼，甚至希望扶持臺灣本土佛教來影響中國佛教。 當時臺灣的重心已轉移到北部，日本正也在興建基隆港以取代逐漸沒落的淡水港，混合中國叢林與日本寺院風格的靈泉禪寺就在此背景下興盛。 ### 當時靈泉寺得到日本政府的贊助，與日本曹洞宗建立合作關係，善慧法師大弟子德融，還是第一位前往日本研習佛法的臺灣僧侶。 又有士紳許梓桑、顏雲年、辜顯榮的護持，成為臺灣佛教的重鎮，與全島一百多間佛教寺院和齋教齋堂都有連絡。 戰後初期，德緣尼師從上海回到開山堂繼續修佛，並在基隆市開設講堂。 靈泉寺當年興起的政治和地緣條件消失，加上與中國大陸來的僧侶有語言隔閡和理念不同的問題，逐漸沒落，直到晴虛法師就任後，力圖振興，整建寺貌。,靈泉禪寺的創建背景和建設過程中有哪些重要人物和事件？,日治時期日本政府對靈泉寺的發展有何影響，且靈泉寺如何在戰後初期逐漸沒落？
帕尔纳克 (洛特省),CS1法语来源 (fr),"帕尔纳克（法語：Parnac，法语发音：[paʁnak]）是法国洛特省的一个市镇，属于卡奥尔区。 帕尔纳克（44°29'24""N, 1°18'53""E）面积5.77 平方千米，位于法国奧克西塔尼大區洛特省，该省份为法国西南部内陆省份，北起顺时针与科雷兹省、康塔爾省、阿韦龙省、塔恩-加龙省、洛特-加龍省和多尔多涅省接壤。 与帕尔纳克接壤的市镇（或旧市镇、城区）包括：卡亚克、克赖萨克、杜埃勒、吕泽什、圣樊尚里沃多尔特。 帕尔纳克的时区为UTC+01:00、UTC+02:00（夏令时）。 ### 帕尔纳克的邮政编码为46140，INSEE市镇编码为46214。 帕尔纳克所属的省级选区为吕泽什县（英语：Canton of Luzech）。 帕尔纳克于2021年1月1日时的人口数量为383人。",帕尔纳克与哪些市镇接壤，并且该市镇所属的省级选区是什么？,
吳之望,1553年出生,吳之望（1553年—？ ），字民表，號京江，直隸鎮江府丹徒縣人，民籍，明朝政治人物。 乙酉鄉試七十六名，萬曆十四年（1586年）丙戌科會試二百八十九名，登三甲第二百五十五名。 大理寺观政，改翰林院庶吉士。 ### 十八年十一月除吏科给事中，二十年四月升礼科右，再升兵科左，八月出为福建左参议，二十二年二月进本省副使。 曾祖吳堪，曾任壽官；祖父吳鳳；父吳恩。 前母錢氏；母夏氏；繼母李氏。 慈侍下。 ### 兄吴之藩。 弟吴之奇。,吳之望在吏科给事中任职期间，先后升迁到哪些职位，最后担任什么职务？,吳之望的家族成员有哪些，他们分别是什么身份？
通野未帆,1991年出生,通野未帆（日语：通野未帆，1991年1月21日—），日本AV女優。 所屬事務所是GREEN。 2013年出道，自稱「売りがない」、「永遠の素人」的AV女優。 2014年7月於SEGA發售的遊戲「人中之龍」中，進入演出角色的女優人氣投票。 ### 同年8月24日於Niconico直播的「龍が如く特別番組～セクシー女優・男の出演者発表～」的結果發表，獲得47561票排名第30名，並獲得「人中之龍0 誓約的場所」的演出權利。 興趣是玩遊戲（惡靈古堡、人中之龍）。 喜歡的食物是紅茶。 喜歡動物。,通野未帆在2014年7月參加的遊戲「人中之龍」的女優人氣投票中，她獲得了什麼樣的結果？,通野未帆在Niconico直播的「龍が如く特別番組～セクシー女優・男の出演者発表～」中獲得了多少票，並因此獲得了什麼樣的權利
慢速排序,1961年科學,慢速排序（英語：Slowsort）是一種排序演算法。 其基於合併排序的分而治之及遞迴的思想，並故意設計使排序過程非常緩慢。 慢速排序由安德烈·布羅德（Andrei Broder）及豪爾赫·斯托爾菲（Jorge Stolfi）在1986年發表的論文《Pessimal Algorithms and Simplexity Analysis》（論文名稱是漸進最優算法及計算複雜性理論的戲仿）中提出。 慢速排序是一種原地算法的递归算法。 ### 在简单的伪代码中，此演算法可以被表示为： 以 Haskell（純函式程式語言）的實現如下： 慢速排序的運行時間關係式為 T ( n ) = 2 T ( n / 2 ) + T ( n − 1 ) + 1 {\displaystyle T(n)=2T(n/2)+T(n-1)+1} ， T ( n ) {\displaystyle T(n)} 的漸近下限為 Ω ( n log 2 ⁡ ( n ) ( 2 + ϵ ) ) {\displaystyle \Omega \left(n^{\frac {\log _{2}(n)}{(2+\epsilon )}}\right)} for any ϵ > 0 {\displaystyle \epsilon >0} 。 由於慢速排序漸近下限的時間複雜度不是多項式時間，即使在最好的情況下也比冒泡排序慢。,慢速排序的時間複雜度漸近下限是如何確定的？請詳細解釋其數學推導過程。,
