Category,Article Title,URL,reference_1,reference_2,reference_3,reference_4,reference_5,query_1,query_2
HP Inc.,OpenMail,https://de.wikipedia.org/wiki/OpenMail,"OpenMail ist eine Groupware für E-Mails und Kalendarien, die von Hewlett-Packard entwickelt und 1990 auf den Markt gebracht wurde. Hewlett-Packard selbst stellte die Weiterentwicklung und den Vertrieb im Jahr 2001 mit der Version 7 ein. Unter der Marke Scalix ist seit 2006 die aktuelle Version 11 erhältlich. Es handelt sich um einen Server für Unix, der mittels Webbrowser genutzt werden kann.","Er unterstützt Microsoft Outlook als Personal Information Manager und andere E-Mail-Programme als Mailserver. Der Server wurde für HP-UX entwickelt, aber noch von Hewlett-Packard auf AIX, Solaris und Red Hat Linux portiert. Als Mail Transfer Agent nutzt er Sendmail. Ende 2001 vergab Hewlett-Packard eine Lizenz an den Kunden Samsung, die Software weiterentwickeln und dann unter eigenem Namen vertreiben zu dürfen.","Die Weiterentwicklung und der Vertrieb von Samsung Contact wurde Ende 2005 mit der Version 9 wieder eingestellt. 2003 begann die im Vorjahr gegründete Scalix Corporation, auf Grundlage einer weiteren Lizenz von Hewlett-Packard eigene Weiterentwicklungen von OpenMail zu vertreiben. Im Juli 2007 wurde Scalix von Xandros übernommen und im Juli 2011 an Sebring Software Inc, einem Hersteller von sog. On-Premise Collaboration- und Cloud-Software, verkauft.","Seit Dezember 2009 findet keine Weiterentwicklung von Scalix mehr statt, auch der Wechsel zum neuen Eigentümer Sebring hat vorerst nichts an dieser Situation geändert. Am 11. November 2013 wurde eine Pressemitteilung veröffentlicht, dass Scalix im Rahmen eines Management-Buy-out übernommen worden sei. Am selben Tag wurde die Version 12 veröffentlicht.",,1. Welche Unternehmen waren im Laufe der Zeit für die Weiterentwicklung und den Vertrieb von OpenMail verantwortlich und welche wichtigen Änderungen haben sie jeweils vorgenommen?,2. Beschreiben Sie die Entwicklung und den Fortschritt von OpenMail seit seiner Einführung durch Hewlett-Packard bis zur jüngsten Version unter der Marke Scalix.
Chinesische Mannschaftsmeisterschaft (Schach),Chinesische Mannschaftsmeisterschaft im Schach 2015,https://de.wikipedia.org/wiki/Chinesische_Mannschaftsmeisterschaft_im_Schach_2015,"Die Chinesische Mannschaftsmeisterschaft im Schach 2015 war die elfte Austragung dieses Wettbewerbes. Meister wurde die Mannschaft von Beijing North Olympic, während sich der Titelverteidiger Jiangsu Green Sheep Springs mit dem sechsten Platz begnügen musste. Aus der Division B aufgestiegen war die Mannschaft von Hangzhou aufgestiegen, die den Klassenerhalt erreichte. Rein sportlich wären Hebei Sports Lottery und Chengdu bud team abgestiegen, allerdings wurde Chengdu 2016 erneut in der Liga zugelassen.","Zu den gemeldeten Mannschaftskadern siehe Mannschaftskader der Chinesischen Mannschaftsmeisterschaft im Schach 2015. Die zwölf Mannschaften bestritten ein doppeltes Rundenturnier. Über die Platzierungen entschied zunächst die Anzahl der Mannschaftspunkte (zwei Punkte für einen Sieg, ein Punkt für ein Unentschieden, kein Punkt für eine Niederlage), anschließend die Anzahl der Brettpunkte (ein Punkt für einen Sieg, ein halber Punkt für ein Remis, kein Punkt für eine Niederlage). Die Wettkämpfe fanden statt vom 10.","bis 13. April, 4. bis 6. Juni, 24.","bis 27. Juli, 20. bis 23. August, 28.",bis 30. Oktober und 8. bis 11. Dezember.,1. Wer wurde Meister der Chinesischen Mannschaftsmeisterschaft im Schach 2015 und welche Position belegte der Titelverteidiger Jiangsu Green Sheep Springs in diesem Wettbewerb?,2. Welche Kriterien wurden für die Platzierungen in der Chinesischen Mannschaftsmeisterschaft im Schach 2015 angewandt und an welchen spezifischen Daten fanden die Wettkämpfe statt
Archäologischer Fundplatz im Bundesstaat México,Huamango,https://de.wikipedia.org/wiki/Huamango,Huamango ist eine präkolumbianische Ausgrabungsstätte im Nordwesten des zentralmexikanischen Bundesstaats México. Huamango lag an einem alten Verkehrsweg vom zentralmexikanischen Hochland in den Norden des Landes knapp 140 km (Fahrtstrecke) nordwestlich der Hauptstadt Mexiko-Stadt in einer Höhe von ca. 2850 m. Nächstgrößerer Ort ist das ca.,"6,5 km südöstlich gelegene Acambay mit etwa 4.000 Einwohnern. Der Ort Huamango war in der Zeit von ca. 900 bis 1300 n. Chr.","besiedelt. Keramikfunde lassen darauf schließen, dass zunächst wohl der Stamm der Otomí die Herrschaft innehatte; später stand der Ort wahrscheinlich unter dem politischen und kulturellen Einfluss der etwa 70 km östlich gelegenen Stadt Tula. Zur Zeit des militärisch-politischen Aufstiegs der Azteken im 15. Jahrhundert war die Stätte bereits verlassen, so dass auch die Spanier dem Ort keinerlei Beachtung schenkten.",Um die Mitte des 20. Jahrhunderts wurde er wiederentdeckt und in den 1970er Jahren von den Archäologen Román Piña Chán und William Folan erforscht und teilweise rekonstruiert. Die ehemals von ca. 2 m hohen Mauern umschlossene archäologische Stätte besteht aus mehreren Terrassen mit Bauwerksresten.,"Am interessantesten ist eine heute dreigeschossige ehemals verputzte Stufenpyramide mit ca. 40 × 40 m Grundfläche; der ehemals wohl darauf ruhende Tempel ist verschwunden. 19.9775-99.865277777778Koordinaten: 19° 58′ 39″ N, 99° 51′ 55″ W","1. Who were the archaeologists that discovered and conducted research on the Huamango site in the 1970s, and what remains of the original structures?",2. Can you describe the historical and cultural influences on Huamango from its establishment around 900 AD to its abandonment prior to the rise of the Aztecs in the 15th century?
Fürst (Italien),Carlo Filangieri,https://de.wikipedia.org/wiki/Carlo_Filangieri,"Carlo Filangieri, Fürst von Satriano und Herzog von Taormina (* 10. Mai 1784 in Cava de’ Tirreni bei Salerno; † 14. Oktober 1867 in Portici) war ein italienischer General. Filangieri wurde als Sohn des Juristen Gaetano Filangieri geboren und trat als Leutnant in die französische Armee.",Bei Austerlitz wurde er 1805 ausgezeichnet und nahm an der Belagerung von Gaëta teil. 1811 kehrte er nach Neapel zurück und wurde von Murat zum Oberst befördert. 1815 nahm er als Generaladjutant an dessen Aufstand teil. Noch von Murat zum Generalleutnant befördert wurde er unter Ferdinand I.,"Generalinspektor der Infanterie. 1821 nahm er am Feldzug Carrascosas in den Abruzzen teil, wurde aber 1822 abgelöst. Erst 1831 wurde er wieder in den Militärdienst aufgenommen und am 29. August 1848 von Ferdinand II.","mit dem Oberbefehl gegen das aufständische Sizilien beauftragt. Er ließ Messina vom 7. bis 9. September beschießen, siegte bei Taormina, Catania und Syrakus und rückte 1849 bis vor Palermo vor.","Hier stand er kurz vor der Erstürmung der Stadt, als ihn die vereinigten Engländer und Franzosen durch die erzwungene Annahme der Kapitulation daran hinderten. Am 9. Oktober 1849 wurde er zum General und Statthalter von Sizilien ernannt und ließ in dieser Stellung Milde walten. Dies machte ihn wiederum bei Ferdinand II.",1. Welche militärischen Auszeichnungen und Beförderungen erhielt Carlo Filangieri während seiner Karriere und in welchen spezifischen Schlachten oder Aufständen spielte er eine entscheidende Rolle?,2. Wie hat Carlo Filangieri seine Position als General und Statthalter von Sizilien genutzt und welche Auswirkungen hatte sein Handeln auf seine Beziehungen zu Ferdinand II.?
Archiv (Nordrhein-Westfalen),Montanhistorisches Dokumentationszentrum,https://de.wikipedia.org/wiki/Montanhistorisches_Dokumentationszentrum,"Das Montanhistorische Dokumentationszentrum, früher Bergbau-Archiv Bochum, ist ein deutsches Wirtschaftsarchiv für den Bereich der Montanindustrie. Es befindet sich im Deutschen Bergbau-Museum (DBM) in Bochum. Das Archiv wurde 1969 von den Spitzenverbänden des deutschen Bergbaus als erstes überregionales Branchenarchiv der Bundesrepublik Deutschland gegründet. Heute bildet es gemeinsam mit der Bibliothek/Fotothek und den musealen Sammlungen das Montanhistorische Dokumentationszentrum (montan.dok).","Der Abschied von der Industriegesellschaft geht in Deutschland seit Jahrzehnten mit einem gravierenden Strukturwandel, vor allem für den Bergbau, einher. Hunderte von Steinkohlenzechen, Erzbergwerken und Kaligruben wurden stillgelegt. Um deren schriftliche Hinterlassenschaften als „Gedächtnis des deutschen Bergbaus“ zu bewahren, sichert und erschließt das Bergbau-Archiv Akten, Karten, Grubenrisse, Fotos und Filme aus dem deutschen Bergbau. Sein Sammlungsauftrag richtet sich auf die Wirtschaftsüberlieferungen von bundesdeutschen Unternehmen des Bergbaus sowie von Verbänden, Vereinigungen und Institutionen dieser Branche.","Seit 1975 zählt auch die aktive Sammlung von Vor- und Nachlässen von Personen, die mit dem Bergbau in Verbindung stehen, zu seinen Aufgaben. Außerdem fungiert es als Archivierungsstelle für das Verwaltungsschriftgut des DBM. Der Umfang der archivierten Originalquellen beläuft sich aktuell auf 6.500 Regalmeter. Der Großteil der Dokumente stammt aus dem 19.","und 20. Jahrhundert, die ältesten reichen allerdings bis in das 17. Jahrhundert zurück. Einen ersten Überblick über die Bestände liefert das Online-Rechercheportal auf der Webseite des Archivs.",Der Besuch des Archivs setzt eine Voranmeldung voraus. Derzeitiger Leiter ist Michael Farrenkopf.,1. Welche Art von Materialien und Dokumenten sammelt das Montanhistorische Dokumentationszentrum und aus welchen Zeiträumen stammen die ältesten und neuesten Dokumente?,"2. Was sind die spezifischen Aufgaben des Montanhistorischen Dokumentationszentrums in Bezug auf die Sammlung von Vor- und Nachlässen von Personen, die mit dem Bergbau in Verbindung stehen, und die"
Chemiker (19. Jahrhundert),Georg Wander,https://de.wikipedia.org/wiki/Georg_Wander,"Georg Wander (* 11. August 1841 in Osthofen; † 14. März 1897 in Bern) war ein deutsch-schweizerischer Chemiker und Industrieller. Georg Wander studierte in Gießen, Tübingen und Würzburg Chemie.","1859 wurde er Mitglied des Corps Rhenania Gießen. 1861 schloss er sich dem Corps Rhenania Tübingen an. Nach der Promotion war er von 1863 bis 1865 Assistent am Institut für Chemie und Pharmazie der Universität Bern. 1865 wurde er Teilhaber einer Mineralwasserfabrik in Bern, die er 1867 übernahm und zum chemisch-technischen und analytischen Laboratorium ausbaute.","Aus diesem Laboratorium ging die spätere Wander AG hervor, die heute insbesondere durch das Malzgetränk Ovomaltine weltweite Bekanntheit besitzt. Sein Nachfolger wurde sein Sohn Albert Wander. Zu den wissenschaftlich-technischen Errungenschaften Georg Wanders gehörte die schonende Extraktion von Gerstenmalz sowie dessen Anreicherung, wozu er neben anderen Substanzen Chinin, Eisen und Kalk verwendete. Carl Wander, Gutsbesitzer und Bürgermeister – Vorfahren vermutlich Schweizer Auswanderer nach 30-jährigem Krieg",,,"1. What were the significant scientific and technical achievements of Georg Wander, the German-Swiss chemist and industrialist, particularly in relation to the extraction and enrichment of barley malt?","2. Can you outline the journey of Georg Wander from being a member of the Corps Rhenania Gießen in 1859 to eventually establishing Wander AG, a company now globally known for the malt drink Ovomaltine?"
DDR-Bürger,Hilde Böhme-Burkhardt,https://de.wikipedia.org/wiki/Hilde_Böhme-Burkhardt,Hilde Böhme-Burkhardt (geb. Böhme; * 24. August 1915 in Schneeberg; † 25. September 1963 in Freiberg) war eine deutsche Malerin und Grafikerin.,"Hilde Böhme war die Tochter von Friedrich Böhme, Zeichenlehrer am Lehrerseminar Schneeberg. Sie studierte an der Staatlichen Zeichenschule für Textilindustrie und Gewerbe in Schneeberg. Anschließend studierte sie an der Kunstgewerbeschule Dresden bei Arno Drescher. Danach studierte sie bei Georg Walter Rössner an der Berliner Akademie und an der Akademie der Bildenden Künste Prag bei Heinrich Hönich.","Sie arbeitete in Freiberg als freischaffende Künstlerin und gehörte 1948 zu den Gründern des lokalen Künstlerkreises Die Kaue, der bis 1962 bestand. Neben der freien künstlerischen Arbeit betätigte sie sich für den Karl Nitzsche Verlag in Niederwiesa als Illustratorin und leitete sie einen Mal- und Zeichenzirkel an der Bergakademie Freiberg. Bilder Hilde Böhme-Burkhardts befinden sich u. a.",im Deutschen Bergbaumuseum Bochum und im Museum für bergmännische Volkskunst Schneeberg.,,1. Welche Ausbildung absolvierte Hilde Böhme-Burkhardt nach ihrem Studium an der Staatlichen Zeichenschule für Textilindustrie und Gewerbe in Schneeberg und bei welchen Professoren studierte sie?,2. Welche Rollen spielte Hilde Böhme-Burkhardt in der Kunstszene von Freiberg und in welchen Museen sind ihre Werke ausgestellt?
Apotheker (19. Jahrhundert),Nicolas-Théodore Gobley,https://de.wikipedia.org/wiki/Nicolas-Théodore_Gobley,"Nicolas-Théodore Gobley (* 11. Mai 1811 in Paris; † 1. September 1876 in Bagnères-de-Luchon) war ein französischer Chemiker und Pharmakologe. Er studierte in Paris Pharmazie und arbeitete zunächst mit dem berühmten Chemiker und Pharmakologen Pierre Jean Robiquet zusammen, der unter anderem die chemischen Strukturen von Opium-Alkaloid, Coffein und Kodein entdeckte.","Nachdem er als Medizinalassistent an einem Krankenhaus gearbeitet hatte, ließ sich Gobley von 1837 bis 1861 als selbständiger Apotheker in Paris nieder und begann mit seinen Forschungsarbeiten, wobei er sich nach kurzer Zeit einen guten Ruf als Chemiker erwerben konnte. Er isolierte beispielsweise das Vanillin, den Hauptaromastoff der Vanille. Gleichzeitig lehrte er von 1842 bis 1847 als Professor an der École de pharmacie von und wurde 1861 an die medizinische Akademie berufen. Seine größte wissenschaftliche Leistung war 1846/1847 die Entdeckung des Lecithins.","Ihm gelang es, aus Eidotter eine weiche, klebrige, orangefarbene Substanz zu gewinnen, in der Ölsäure, Margarinsäure, Glycerinphoshorsäure sowie eine stickstoffhaltige organische Base vorhanden waren. 1850 nannte er diese Substanz Lecithin nach dem griechischen Wort Lekithos (Eidotter). Analoge Substanzen erhielt er in den Jahren 1847 bis 1858 aus Gehirn, Karpfeneiern, Blut, Galle und anderen organischen Substanzen. Wissenschaftlich versteht man unter Lecithin das Phosphatidylcholin.","1846 berichteten die Chemiker Eugène Chevreul, Jean Baptiste Dumas und Théophile-Jules Pelouze der Académie des Sciences von Gobleys Forschungsergebnissen und würdigten seine Erkenntnisse. Heute ist die Trivialbezeichnung Lecithin zu einem Allgemeinbegriff geworden. Er war ab 1861 Mitglied der Academie de Médicine und er war Mitglied (ab 1843) und Präsident der Académie de pharmacie und korrespondierendes Mitglied der pharmazeutischen Gesellschaften in Madrid und Barcelona. 1850 wurde er Ritter der Ehrenlegion und 1870 Offizier der Ehrenlegion.",Er war in verschiedenen Pariser Organisationen für öffentliches Gesundheitswesen aktiv.,1. Welche wissenschaftliche Leistung hat Nicolas-Théodore Gobley zwischen 1846 und 1847 erbracht und wie hat er die von ihm entdeckte Substanz benannt?,"2. Beschreiben Sie Gobleys Beiträge und Anerkennungen in der wissenschaftlichen Gemeinschaft, einschließlich seiner Mitgliedschaften in Akademien und Auszeichnungen."
Familienmitglied des Hauses Bourbon-Orléans,François d’Orléans (Offizier),https://de.wikipedia.org/wiki/François_d’Orléans_(Offizier),"François Gaston Michel Marie d’Orléans (* 15. August 1935 in Woluwe-Saint-Pierre; † 11. Oktober 1960 bei Taourirt Ali Ou Naceur, Algerien) war ein französischer Aristokrat aus dem Haus Orléans und Offizier der französischen Armee. Er war ein jüngerer Sohn des Thronprätendenten Henri d’Orléans († 1999) und dessen Frau Isabelle d’Orléans-Bragance († 2003).","Von seinem Vater erhielt er postum den familieninternen Höflichkeitstitel „duc d’Orléans“. Die ersten Jahre seines Lebens verbrachte François d’Orléans im Exil in verschiedenen europäischen Ländern, bevor er 1949 ein Landwirtschaftsstudium in Beauvais aufnehmen konnte. Nachdem er zum Militärdienst einberufen worden war, absolvierte er eine Offiziersausbildung in der Militärakademie von Cherchell in Algerien. Im Rang eines Sous-lieutenant des 7.","Gebirgsjäger-Bataillons wurde er am 11. Oktober 1960 während einer Operation gegen die FLN (Algerienkrieg) in der großen Kabylei bei der Ortschaft Taourirt Ali Ou Naceur getötet. „Für Frankreich gestorben“ (Mort pour la France) wurde er postum von Präsident Charles de Gaulle, anlässlich der Beerdigungszeremonie am 19. Oktober 1960 in der Chapelle de l’Hôpital Maillot in Algier, zum Ritter der Ehrenlegion ernannt.",Sein Leichnam wurde am 17. Oktober 1960 in die Chapelle royale Saint-Louis in Dreux überführt.,,1. What title did François Gaston Michel Marie d’Orléans receive posthumously from his father and what were his significant life events before being conscripted for military service?,2. Provide details of François d’Orléans's death and the posthumous recognition he received from President Charles de Gaulle.
Freies Dateisystem,Reiser File System,https://de.wikipedia.org/wiki/Reiser_File_System,"ReiserFS ist ein Mehrzweck-Dateisystem, das von einer Entwicklergruppe um Hans Reiser in der ihm gehörenden Firma Namesys ab 2001 entwickelt und realisiert wurde. Das Reiser File System unterliegt der General Public License. Die Entwicklung der Version 3 wurde von MP3.com und der SuSE Linux GmbH unterstützt, die Version 4 vor allem von der DARPA und Linspire. ReiserFS war das erste Journaling-Dateisystem, das im Linux-Kernel standardmäßig (ab Kernel-Version 2.4.1) enthalten war.","Es wird im Wesentlichen für Logical Volumes oder RAID-Systeme eingesetzt. Zurzeit wird ReiserFS in der Version 4 vom Linux-Kernel vollständig unterstützt; seit dem Linux-Kernel 5.18 ist das Dateisystem als „deprecated“ (veraltet) markiert und wird daher 2025 entfernt. Für FreeBSD gibt es eine experimentelle Unterstützung, bisher nur für Leseoperationen. Kommerzielle Treiber gibt es auch für die Betriebssysteme von Microsoft.","Das ReiserFS basiert auf der von Rudolf Bayer entwickelten Datenstruktur des B+-Baums. Das gilt für die Versionen 1 bis 3. In Version 3 wurde dem ReiserFS ein Journal hinzugefügt. Ursprünglich war ein Nachteil von ReiserFS gegenüber einigen anderen Journaling-Systemen, dass das Journaling nur für die Metainformationen, d.","h. für die Verzeichnisse und Verwaltungssektoren, nicht jedoch für die Nutzdaten in den Dateien selbst angewendet wurde. Dies wurde im 2.6er Kernel behoben. Reiser4 ist vollständig neu entwickelt und sollte nicht mit dem alten ReiserFS verwechselt werden.","Daher wird es nicht als „ReiserFS 4“ vertrieben. Es wird eine Abwandlung der B*-Baum-Struktur verwendet, sogenannte Dancing Trees. Der Hauptunterschied besteht darin, dass unzureichend gefüllte Knoten nicht bei jeder Modifikation des Baumes verschmolzen werden, sondern nur dann, wenn durch Speicherknappheit ein Zurückschreiben auf den Festspeicher gefordert wird oder eine Transaktion abgeschlossen wurde. Einen Geschwindigkeitsvorteil bietet Reiser4, weil es die Daten nicht mehr zweimal auf die Festplatte schreibt – zunächst in das Journal und anschließend in das Dateisystem.",1. Welche wesentlichen Unterschiede bestehen zwischen ReiserFS Version 3 und Version 4 in Bezug auf ihre Datenstruktur und ihre Implementierung von Journaling?,"2. Warum wurde ReiserFS im Linux-Kernel ab Version 5.18 als ""veraltet"" markiert und welche Konsequenzen hat dies für die zukünftige Unterstützung des Dateisystems?"
