Category,Article Title,URL,reference_1,reference_2,reference_3,reference_4,reference_5,query_1,query_2
Министарства Уједињеног Краљевства,Министарство лорда канцелара,https://sr.wikipedia.org/wiki/Министарство_лорда_канцелара,"Овај чланак је дио серије чланака о судству Енглеске и Велса Министарство лорда канцелара (енгл. Lord Chancellor's Department)[н. 1] било је министарство Уједињеног Краљевства на чијем челу је стајао лорд канцелар. Министарство лорда канцелара је основао лорд Селборн (1885) који је у то вријеме био лорд канцелар. Он је био једини кабинетски министар који није имао своје министарство са грађанским службеницима односно сталним секретарима и подсекретарима. Министарство се оригинално звало Канцеларија лорда канцелара (енгл. Lord Chancellor's Office), а за запослене је имала само адвокате (у почетку њих пет).","Када су донесени закони који су реформисали судски систем било је потребно кадровски реформисати и ресор лорда канцелара. Када је јуна 1915. именован стални секретар, Канцеларија је реформисана тако да ефикасније врши надзор над судским системом. Овлашћења министарства су се проширила 1922. године када је добило право контроле над судовима грофовија (прије је контролу вршио Трезор Његовог величанства), и 1925. године на основу Акта о Врховном суду. Министарство је добило велика овлашћења 1971.","године када је донесен Акт о судовима који је модернизовао енглески судски систем и поставио Министарство лорда канцелара као контролора судова. Министарство које је тада радило одвојено од Канцеларије лорда канцелара у Дому лордова је добило своје канцеларије у Вајтхолу. Министарство лорда канцелара се умногоме разликовало од других министарстава. Између осталог, старјешина министарства све до 1992. године није представљао свој ресор у Дому комуна јер лорд канцелар као спикер Дома лордова дотад није могао сједити у Дому комуна. Министарство лорда канцелара је претворено 2003. године у Министарство за уставна питања, а сам лорд канцелар је био истовремено и државни секретар за уставна питања.","Министарство за уставна питања је укинуто на основу Уставног реформског акта 2005, а основано је Министарство правде које је добило и одређене надлежности Министарства унутрашњих послова. Лорд канцелар је од тада истовремено и државни секретар правде. Лорд канцелар је изгубио судску власт, али је остао чувар Државног печата. Канцеларијом је руководио стални секретар при Канцеларији лорда канцелара, највиши члан Грађанске службе Њеног величанства који је такође служио као краљевски биљежник у Канцеларству. Канцеларија коју је он водио је била мала са мањим бројем особља. Поред сталног секретара били су још: лични секретар сталног секретара, лични секретар лорда канцелара, секретар презентација (он је био савјетник лорда канцелара за именовање чланова Енглеске цркве) и секретар комисија (савјетник лорда канцелара за именовање магистратских судија). Министарство је било прилично мањег обима поредећи га са другим министарствима.","Године 1960. имало је 13 адвоката и неколико секретара. Када је 1971. године донесен Акт о судовима постао је највеће министарство. Бројао је 12.000 директних запослених, 10.000 индиректних запослених, 1.000 зграда (много више него остала министарства) и годишњи буџет од 2,4 милиона фунти.","Које су конкретне реформе и промене у надлежностима Министарства лорда канцелара које су се догодиле током 20. века, и како су оне утицале на улогу лорда канцелара у британском судском систему?",
Будистички храмови,Борободур,https://sr.wikipedia.org/wiki/Борободур,"Борободур (често и Боробудур) је највећи будистички храм у Југоисточној Азији. Ова велика пирамида се налази у централном делу острва Јава у Индонизији. Храм се састоји од девет наслаганих платформи, шест квадратних и три кружне, са средишњом куполом на врху. Храм је украшен је са 2672 рељефне плоче и 504 статуе Буде. Централна купола окружена је 72 статуе Буде, од којих свака седи унутар перфориране ступе. Вековима је била прекривена вулканским пепелом док је Европљани нису откопали. У периоду између 1973.","и 1983. је спроведен велики програм обнове. Унеско је 1991. године ставио овај храм на листу светске културне баштине. На квадратној основи чије стране су дуге 123 m уздиже се укупно девет спратова. На зидовима прве четири степенасте терасе налази се рељеф чија је укупна дужина 5 km и приказује Будин живот. Изнад ових, уздижу се следеће три концентрично саграђене терасе с укупно 72 ступе од којих главна има пречник 11 метара.","Пирамида је вероватно грађена између 750. и 850. године за време владавине династије Саилендра. Дизајн храма следи јаванску будистичку архитектуру, који спаја индонежански домородачки култ обожавања предака Индонезије и будистички концепт достизања Нирване. Храм демонстрира утицаје гуптанске уметности чиме се одражава утицај Индије на регион, али има довољно аутохтоних сцена и елемената да Борободур постане једиствено индонезијско здање. Монумент је светилиште Буде и место будистичког ходочашћа. Ходочасничко путовање започиње у подножју споменика и следи стазом око споменика, уздижући се на врх кроз три нивоа симболичне будистичке космологије: камадату (свет жеља), рупадату (свет облика) и Арупадату (свет безобличности).","Монумент води ходочаснике кроз опсежни систем степеништа и ходника са 1.460 наративних рељефних плоча на зидовима и балустрадама. Борободур има један од највећих и најпотпунијих колекција будистичких рељефа на свету. Докази указују на то да је Борободур саграђен у 9. веку, а потом напуштен након пропадања хиндуистичких краљевстава у 14. веку на Јави и преласка Јаванаца у ислам. Светска сазнања о његовом постојању подстакао је Сер Томас Стамфорд Рафлес 1814. године, тада британски владар Јаве, кога су локални Индонежани саветовали о његовој локацији.","Борободур је од тада сачуван путем неколико рестаурација. Највећи пројекат рестаурације предузели су између 1975. и 1982. године Индонежанска влада и Унеско, а потом је монумент уписан као Унескова локација светске баштине. Борободур је највећи будистички храм на свету, а сврстава се са Баганом у Мјанмару и Ангкор Ватом у Камбоџи као једно од великих археолошких налазишта југоисточне Азије. Борободур је и даље популаран као одредиште ходочашћа, а будисти у Индонезији славе Дан Весака код овог монумента. Борободур је једна од најпосећенијих туристичких атракција Индонезије.","Како архитектура храма Борободур одражава спој индонежанске домородачке културе и будистичких концепата, и на који начин приказује утицај Гуптанске уметности и Индије?  ","Које су улоге и значај рељефних плоча и ступа у будистичком ходочашничком путовању кроз Борободур, и како о"
Формат датума,Давид Шварц (проналазач),https://sr.wikipedia.org/wiki/Давид_Шварц_(проналазач),"Давид Шварц (мађ. Schwarz Dávid; Кештељ, 20. децембар 1850 — Беч, 13. јануар 1897) био је пионир ваздухопловства у Европи. Познат је по стварању ваздушног брода са крутим омотачем у потпуности направљеним од метала. Шварц је умро само неколико месеци пре него што је дирижабл полетео. Неки извори су тврдили да је гроф Фердинанд Граф фон Цепелин купио Шварцов патент за дирижабл од његове удовице, што је спорно.","Био је отац оперске певачице, сопрана Вере Шварц (1888–1964). Извори за његов датум рођења се разликују. OCLC наводи З. 7. децембар 1850, док Брокхаус наводи 20. децембар 1850. OCLC, као и Брокхаус, приказују Шварцово место рођења као Залаегерсег у Мађарској.","Шварц је рођен као син Јевреја у Кештељу, Краљевина Угарска, тада део Аустријског царства. Био је прво трговац дрвом у Жупањи, а део живота је провео у Загребу, у аутономној области ""Краљевина Хрватска-Славонија"" у Краљевини Угарској у Аустријском царству. Шварц се први пут заинтересовао за ваздушне бродове током 1880-их. То се догодило док је радио ван куће и надгледао сечу шумског земљишта. Пошто је посао трајао дуже него што је планирано, натерао је жену да му пошаље књиге како би увече мало одмарао. Ово је укључивало уџбеник механике. Његов посао са дрветом је патио због његове опсесије па је, као и код многих других пионира авијације, његов пројекат изазивао спрдњу.","Ипак, његова супруга Меланија га је подржала. Шварц је предложио алуминијум, тада веома нов материјал, за изградњу ваздушних бродова. Након што је разрадио дизајн потпуно металног дирижабла, Шварц је понудио своје идеје аустроугарском министру рата, које је показало интересовање, али Влада није била спремна да пружи финансијску подршку. Почео је да гради крајем 1892. године са индустријалцем Карлом Бергом који је снабдевао алуминијум и неопходна средства. Руски војни аташе, технички образован човек, саветовао је Шварца да демонстрира свој дирижабл у Санкт Петербургу. 1893.","је изграђен у Санкт Петербургу дирижабл по Шварцовим идејама. Шварц, а касније и његова удовица, претпостављали су да ће се ту обављати и пробни летови, али се то није догодило. Проблеми су настали током пуњења гаса: током упумпавања, структура би се урушила. Шварц је очигледно намеравао да метални омотач садржи гас директно без потребе за унутрашњим кесама за гас. Руски инжењер Кованко је истакао да би недостатак балонета проузроковао напрезање омотача током успона и спуштања. Такође, проблем је био што омотоач није био херметички затворен. Спецификације првог ваздушног брода су биле: Године 1894, Карл Берг је добио уговор за изградњу ваздушног брода за краљевску пруску владу, позивајући се на Шварца као зачетника идеје.",Како је Давид Шварц дошао на идеју о изградњи ваздушног брода са потпуно металним омотачем и какву је улогу играла његова супруга у том процесу?,
списак аутора,Устав Србије из 1869.,https://sr.wikipedia.org/wiki/Устав_Србије_из_1869.,"Устав Књажества Србије из 1869. године, познат и као Намеснички устав, (познат и као Духовски, Тројички устав) био је трећи устав Србије којим је замењен стари Турски устав из 1838. године. Усвојила га је Велика народна скупштина 11. јула 1869.године, а устав је био на снази у два периода 1869—1888. и 1894—1901. Најважније одредбе Устава из 1869.","године посвећене су положају и надлежностима Народне скупштине, која по први пут у државноправној историји Србије постаје законодавни орган. Доношењу овог устава, иако Србија још није била суверена земља, нису се успротивили ни Османско царство, номинални сизерен Србије, ни велике силе. Пошто га је у време малолетности Милана Обреновића донело Намесништво назива се и Намесничким уставом. У раздобљу 1839—1869, које представља период формалне владавине Турског устава, сменила су се два суштински различита уставна поретка. Први је био период владавине уставобранитеља у току кога су организација врховне државне власти, али и уређење ширих, првенствено друштвено економских односа, били истински постављени на принципима Турског устава. Други период поклапа се са другом владом кнеза Михаила и обележен је важним променама уставног система у Србији. После Милошеве абдикације и првог ступања на престо његовог сина Михаила, положај уставобранитеља знатно је ојачао.","Њихови најистакнутији представници из редова трговаца и високе бирократије - Тома Вучић Перишић, Аврам Петронијевић, Илија Гарашанин, браћа Симићи - борили су се, у првом реду, за очување уставом признатих слобода у привредним односима, а нарочито за слободну трговину. Вучићева буна 1842. године резултирала је свргавањем династије Обреновића, а 1. 9. 1842. године и избором Александра Карађорђевића за новог кнеза Србије. Стални сукоби између кнеза и Савета, међутим, доводе децембра 1858.","до сазивања Светоандрејске скупштине, на којој је, место збаченог кнеза Александра, на престо враћен Милош Обреновић. Промена Устава из 1838. наследност кнежевског достојанства и исељење турског становништва из градова, основне су карактеристике Милошевог политичког програма после поновног ступања на престо Србије. Али непуне две године, колико је трајала Милошева друга владавина, нису биле довољне да кнез ова питања и реши. После Милошеве смрти, титулу кнеза поново наслеђује Михаило, чији је план био да се реформама учврсти на власти и тиме онемогући утицај опозиционих група и мешање Порте, а стварањем народне војске и склапањем споразума са хришћанским народима на Балкану тежио је коначном рушењу турске власти у овом делу Европе. Са другом владом кнеза Михаила, Србија улази у ново поглавље свог уставног живота. Питање промене Турског устава било је најзначајније у законодавној активности новог кнеза.","У својој прокламацији, приликом ступања на престо, он изјављује да је ,,закон највиша воља у Србији“. О томе Никола Христић у својим мемоарима пише: Порта није пристајала да Србија самостално донесе устав, и због тога кнез Михаило је, по наговору великих сила, донео законе којима је изменио правни положај врховних органа власти предвиђен у Турском уставу. Закони којима је кнез Михаило у највећој мери изменио одредбе Устава од 1838. били су следећи: Устројеније Државног совјета од 17. 8. 1861, којим су саветници стављени у исти ред са осталим чиновницима, што је омогућило кнезу да до тада независне саветнике може пензионисати; Владавину кнеза Александра Карађорђевића су обележили чести сукоби кнеза и Совјета. Након Тенкине завере 1857.",Како је Намеснички устав из 1869. године утицао на положај и надлежности Народне скупштине у Србији и како је то представљало промену у односу на претходне уставе?,
CS1 извори на језику — руски (ru),Операција ОДКБ у Казахстану,https://sr.wikipedia.org/wiki/Операција_ОДКБ_у_Казахстану,"Победа ОДКБ; Руководство Казахстана (држава која је активирала чл. 4 Уговора) Колективне мировне снаге ОДКБ са укупним бројем од 2030 људи и 250 комада опреме Операција ОДКБ у Казахстану је војна операција коју спроводе Русија и друге земље учеснице блока од 6. јануара 2022. године, на захтев председника Казахстана Касима Жомарта Токајева, у вези са масовним протестима који су ескалирали у оружане сукобе између демонстраната. и владине снаге у Алма Ате. Операција је проглашена за мировну мисију за заштиту најважнијих државних и стратешких објеката у Казахстану и за помоћ казахстанској страни у одржавању реда и закона. Ујутро 2.","јануара 2022. године становници мјеста Жангаозен су блокирали пут у знак протеста против раста цијена. Житељи који су се ту окупили су позвали акима области Нурлана Ногајева и акима града Максата Ибагарова да донесу неке мјере у циљу стабилизације цијене горива. У ноћи са 4. на 5. јануар демонстранти су почели палити службена полицијска возила, а бројност по појединим медијима је оцијењена између једне и неколико хиљада демонстраната. Током ноћи су се појавиле и гласине о увођењу војне технике у град.","Казахстански провајдер ""Казахтелеком"" је 5. јануара закључао интернет у цијелој држави. Као посљедица томе, у цијелој земљи су становници почели да подижу новац са рачуна, а испред банкомата су се појавили редови, због тога што бесконтактно плаћање, плаћање картицама и електронским путем више није могуће. Од стране команданта града Алма Атија је саопштено да су се у ноћи са 4. на 5. јануар ""активирале екстремистичке групе"". Током вечери и ноћи у граду је запаљено преко 120 возила, а од тога 33 службена возила полиције, санитетска и ватрогасна возила.","Разбијено је 120 излога продавница, 180 објеката јавне прехране, 100 канцеларија малог и средњег бизниса. Претучено је преко 500 лица, а од тога 130 жена и стараца. По ријечима команданта града, са наступањем јутра 5. јануара поновили су се нови напади екстремиста. Протести су се током 5. јануара проширили и на друге градове који су се претворили у нереде, а до вечери и у оружане сукобе. Указом предсједника Казахстана ""у вези са озбиљном и непосредном опасношћу безбједности грађана у циљу обезбјеђивања опште безбједности, успостављања законости и правног поретка, заштите права и слобода грађана""[н.","1] је од 5. јануара до 19. јануара 2022. у 0.00 часова уведено ванредно стање у већем делу Казахстана, нарочито у јужним и источним областима уз погранична подрчја са Киргистаном, Узбекистаном и Кином.. Уговор о колективној безбедности потписала је Република Казахстан 15. маја 1992. године, депонован 20.",Како су протести у Казахстану почетком јануара 2022. године ескалирали у оружане сукобе и које су мере предузете од стране власти да се ситуација стабилизује?,
Војвођанска фудбалска лига Север,Војвођанска фудбалска лига Север,https://sr.wikipedia.org/wiki/Војвођанска_фудбалска_лига_Север,"Војвођанска фудбалска лига Север је једна од укупно једанаест зонских лига у фудбалу. Зонске лиге су четврти ниво лигашких фудбалских такмичења у Србији. Лига је први пут формирана у сезони 1998/99. и трајала је наредне четири такмичарске године (до лета 2002. године) када ће је заменити новооформирано такмичење четвртог степена - јединствена Прва војвођанска лига. Ни она се дуго није одржала, након само две сезоне долази до реорганизације фудбала у војводини и поновног враћања на три Војвођанске лиге ""север"", ""исток"" и ""југ"". Од лета 2008.","године четврти степен војвођанског фудбала се дели на две лиге ""запад"" и ""исток"" да би се лета 2014. године вратио систем од три лиге четвртог степена, овога пута под новим именима: ""Бачка лига"", ""Банатска лига"" и ""Новосадско-сремска лига"". Пред почетак сезоне 2016/17. Бачка зона добила је садашње име Војвођанска фудбалска лига Север. Виши степен такмичења је Српска лига Војводина, а нижи су ПФЛ Сомбор и ПФЛ Суботица. Првак лиге иде директно у Српску лигу Војводина. Лига је из године у годину мењала бројеве чланова па је тако некад имала 18, 16 а понекад и 15 чланова.","У сезони 1998/99 после 17 кола, на пролеће, првенство је прекинута због НАТО бомбардовања а 2019/20 такође после 17 кола, првенство је прекинуто због пандемије Корона вируса. Занимљиво да су се тада, поред тренутно првопласиране екипе на табели Слоге, у Српску лигу Војводина пласирали и другопласирани ОФК Стари Град из Бачке Паланке, као и четвртопласирана екипе Тисе из Адорјана (?!). Почетком 2018. године пред почетак пролећног дела сезоне ФК Потисје из Кањиже иступа из лиге и сви резултати са њим се поништавају. Стање након сезоне 2023/24. Клубови који се такмиче у сезони Војвођанској лиги група Север 2024/25 су подебљани. Мушкарци (до 23 · до 21 · до 20 · до 19 · до 17) · Жене (до 19 · до 17) Мушкарци: Суперлига · Прва лига · Српска лига (Београд · Војводина · Запад · Исток) · Зоне (Београдска · ВФЛ Исток · ВФЛ Север · ВФЛ Југ · Дрина · Дунав · Морава · Запад · Исток · Југ · Центар) · Окружне лиге · Међуопштинске лиге · Општинске лиге · Друге општинске лигеЖене: Суперлига · Прва лига · Друга лига (Запад · Север) Мушкарци: КупЖене: Куп",,,"Како је еволуирао систем лигашких такмичења у војвођанском фудбалу од 1998. до 2014. године, и које су промене у називима и броју лига током тог периода?",
IMDb ID није на Википодацима,Сабља (ТВ серија),https://sr.wikipedia.org/wiki/Сабља_(ТВ_серија),"Сабља је предстојећа српска драмска телевизијска серија снимана током 2023. године. Режију серије потписују Горан Станковић и Владимир Тагић који заједнички потписују и сценарио заједно са Мајом Пелевић. Премијерно приказивање које је планирано на РТС 1 од 24. фебруара 2024. године, одложено је одлуком ове телевизије, са циљем да се серији да могућност учешћа на фестивалима. „Један од најпрестижнијих фестивала филмских и серијских садржаја разматра могућност да Сабљу и причу која је те 2003.","године потресла Србију, али и читаву светску јавност, уврсти у свој програм. Зато, поштујући правила европске и светске филмске индустрије, а у циљу промоције домаће кинематографије у свету, серија Сабља на РТС-у биће емитована у новом термину о чему ћемо благовремено обавестити гледаоце” наводи се у објави РТС — а поводом отказивања почетка премијерног емитовања серије Сабља. Прве две епизоде серије су премијерно приказане на фестивалу серија у Кану - Cannesseries. Серија је освојила награду за најбољу глумачку интерпретацију целокупног глумачког ансамбла ., , Регионална премијера серије је такође одржана на 30. Сарајево филм фестивалу 20. августа 2024 године. Премијера серије се очекује од 2.","новембра 2024 на РТС 1. Држећи се фактографије, али уз уметничку слободу, креатори серије Владимир Тагић и Горан Станковић (двојац добро познат ТВ публици по серији Јутро ће променити све), потрудили су се да дају пресек друштвено-политичке ситуације у земљи од деведесетих до двехиљадитих година и да дочарају атмосферу неизвесности која је владала те 2003. године у Србији. Када је о ликовима и представљеним догађајима реч, аутори истичу да је у питању „драмска интерпретација стварних догађаја — плод маште и креативне слободе аутора. Главни ликови су измишљени, а неке сцене резултат су претпоставке, уметничке обраде и не представљају објективну истину“. Окосница радње овог напетог политичког трилера јесте догађај из 2003. године када је усред белог дана испред зграде Владе Србије 12.","марта 2003 убијен премијер Србије Зоран Ђинђић. Док се у очима јавности чини веома јасним ко су атентатори, млада новинарка у успону Даница Мандић покушава да открије праву позадину атентата. Њена потрага за истином води је до најдубљих пора исквареног државног апарата. Борис, полицијски инспектор задужен за истрагу, полако открива грешке у случају које су гу довеле до највиших људи тајне службе, док се млади криминалац Урош све више укључује у активности криминалног клана за који ће се испоставити да стоји иза атентата на премијера. Списак српских телевизијских серија",,"Како креатори серије ""Сабља"" комбинују стварне догађаје и уметничку слободу у представљању приче о атентату на премијера Србије, и који су главни ликови у серији?",
Југословенски књижевници,Borisav Atanasković,https://sr.wikipedia.org/wiki/Borisav_Atanasković,"Borisav Atanasković (Beograd, 10. maj 1931 — Novi Sad, 26. jul 1994) bio je jugoslovenski i srpski književnik, dramski pisac za decu i odrasle, scenarista, reditelj, pozorišni glumac, novinar, dramaturg i urednik. Rođen u Beogradu od oca Radiše, učitelja, poreklom iz sela Ločevaca, okolina Takova i Gornjeg Milanovca, i majke Danice, poreklom iz Beograda, sudske činovnice. Osnovnu školu i gimnaziju pohađao je u Takovu, Beogradu Treću beogradsku gimnaziju i Gornjem Milanovcu. Državnu pozorišnu školu u Novom Sadu diplomirao je 1953. godine u klasi Jurija Rakitina Ljvoviča, sa svojim kolegama: Mirkom Jovanovićem, Mihajlom Forom, Jelenom Milanović, Radoslavom Simićem, Fedorom Tapavičkim, Dragišom Šokicom, Uglješom Rajčevićem i Jovanom Antićem u ispitnim predstavama: Kartaši, Nedorasli i Silom lekar Žan Baptista Poklen-Molijera.","U Beogradu je studirao na Filološkom fakultetu, na Odseku srpskohrvatski jezik i književnost. Prvo radno mesto bilo mu je 1956. u Nolitu na obavljanju poslova kulturno umetničkog programa, a zatim u Opštini Stari grad u Beogradu - sekretar Doma kulture od 1957. do 1960. godine. Od 1960. do 1970.","bavio se glumačkim pozivom u pozorištima Zrenjanina, Leskovca (u dva navrata: 1971—1972. i 1973—1974) i Vršca (1976—1979). Ostvario niz zapaženih uloga, bio i jedan od prvaka pomenutih scena. Između angažmana u pozorištima potpisivao je režiju pozorišnih komada, a od 1974-1976. radio je kao prvi profesionalni režiser u Amaterskom pozorištu Kulturnog centra u Gornjem Milanovcu, sada Milanovačko pozorište. Osvajanjem prve nagrade na Festivalu radiodifuznog stvaralaštva u Ohridu 1979. godine, radio dramom za decu ""Dimitrije sapun"", u kompletnoj obradi Dramske redakcije Govorno umetničkog programa Radio televizije Novi Sad - Radio Novi Sad 1, koju je za tu priliku Atanasković napisao, stekao je uslove da pređe u istoimenu redakciju na mesto dramaturga radio drame za decu na srpskom jeziku.","Pored poslova dramaturga, istovremeno je, do penzionisanja 1991. godine, obavljao i poslove urednika dečje radio drame na srpskom, mađarskom, slovačkom, rumunskom i rusinskom jeziku. Radio drame za decu i odrasle su mu otkupljivane, nagrađivane. Dobitnik je Nagrade ""Mlado pokolenje"", 1984. godine za životno delo. Veran saradnik Politike, tačnije podlistka Politike za decu, bio je od 1955. do kraja života, zatim saradnik novina Politika Ekspres, Jež, Dnevnik, Dečji dnevnik, Zdrav podmladak, Golub, Zmaj, Pionir, Vesela sveska, Dečje novine, Neven, Pionieri, Lokomotiva...","Priče, kratke priče i pripovetke objavljene su mu u čitankama, u obaveznoj lektiri za učenike od trećeg do četvrtog razreda osnovne škole, metodikama razvoja govora, a zastupljen je i u mnogim antologijama srpske proze - kratke priče i pripovetke za decu. U pozorištima u Zrenjaninu, Leskovcu i Vršcu igrao je sa poznatim prvacima našeg glumišta: Nedom Spasojević Doživljaji Nikoletine Bursaća 1960.i Ožalošćena porodica 1963, Dubravkom Nešović u ""Koštani"" u Narodnom pozorištu ""Toša Jovanović"", Zrenjanin 29. 10. 1968, Usnijom Redžepovom u ""Koštani"" u Narodnom pozorištu ""Jovan Sterija Popović"" Vršac, 1976. Stevanom Bajom Gardinovačkim, Jelisavetom Sekom Sablić u ""Ujka Vanji"", Narodno pozorište ""Jovan Sterija Popović"", Vršac 1977, Marinkom Šebezom, Brankom Milićevićem Kockicom, Milenkom Pavlovim... Jedna od mnogih, bila mu je glavna uloga u ""Stolici koja se ljulja"" (Rade), autora Novaka Novaka, (Narodno pozorište ""Jovan Sterija Popović"", Vršac). Godine 1969.",Na koji način je Borisav Atanasković doprineo razvoju dečje radio drame na Radio televiziji Novi Sad?,
Неподобан URL,Роман Велики,https://sr.wikipedia.org/wiki/Роман_Велики,"Роман Велики (1150 - Завихост, 19. јун 1205) је био велики кнез Кијева из династије Рјуриковича. Био је син Мстислава II од Кијева и Агнес од Пољеске. Роман Мстиславич (руски и украјински: Роман Мстиславич 4. април 1152 — 19. јун 1205), познат и као Роман Велики, био је руски кнез и члан породице Изјаславича из Волиније. Основао је династију Романовича, која ће владати Волинијом и Галичем до 1340.","године. Био је кнез Новгорода (1168–1170), Волиније (1170–1189, 1189–1205) и Галича (Галиција; 1189, 1198/99–1205). Заузевши Галички престо, постао је господар целе Западне Русије. Почетком 13. века византијски хроничари су му приписали царску титулу „аутократора“ (αυτοκρατωρ), али нема доказа да је он ту титулу званично користио. Водио је два успешна похода против Кумана, из којих се вратио са много спасених заробљеника. Ефекат Романове победе био је, међутим, поткопан новим поделама међу руским кнезовима.","Роман је погинуо у бици са Пољацима у бици код Завихоста. Био је најстарији син Мстислава Изјаславича, тадашњег волинског кнеза, и Агнезе, ћерке великог војводе Болеслава III од Пољске. Велики кнез Мстислав II, који је претходно заузео Кијев, послао је Романа у Новгород 14. априла 1168, пошто су Новгородци протерали свог кнеза, Свјатослава IV Ростиславича. Међутим, Свјатославова браћа, кнезови Смоленска, и Владимирски кнез Андреј Јурјевич, који су подржавали Свјатославову власт у Новгороду, провели су остатак године у заверама и склапању савеза против великог кнеза Мстислава II. Након што је велики кнез Мстислав II умро у августу 1170, Новгородци су протерали кнеза Романа и позвали Андреја за кнеза. Андреј је послао Рјурика Ростиславича да влада Новгородом.","Када му је отац умро, Роману је завештана Кнежевина Волинија. Покорио је Јотвинге и упрегнуо заробљенике да вуку плугове на његовим имањима уместо волова. Оженио се Предславом Рјуриковном, ћерком Рјурика Ростиславича, која га је пратила у Новгороду. Њихова најстарија ћерка, Федора Романовна, била је удата за Василка Владимировича, унука кнеза Јарослава Владимировича Осмомисла од Галича, али ју је Василко касније отерао .После смрти Јарослава Осмомисла 1. октобра 1187. године, у Галичкој кнежевини почињу невоље, због свађе између његова два сина, Олега и Владимира. Роман је подстицао Галичане да отерају Владимира и да њега прогласе за кнеза, али они нису успели ни да протерају ни убију Владимира.","Међутим, када су Галичани запретили да ће му убити жену, Владимир ју је узео и побегао код угарског краља Беле III (1172–1196). Према једној касној хроници, Олега је поставио велики војвода Казимир II од Пољске (1177–1194) да влада Галичком кнежевином, али су га Галичани отровали и позвали Романа да им буде кнез. Када је прихватио њихову понуду, Роман је предао своју баштину Волинију свом брату Всеволоду Мстиславичу. Али краљ Бела III је кренуо против кнеза Романа, намеравајући да врати на власт кнеза Владимира, и Мађари су заузели кнежевину. Уместо да кнезу Владимиру врати Галич, краљ Бела III је за владара прогласио свог сина Андрију. Роман је био принуђен да побегне у Волинију, али је кнез Всеволод одбио да му отвори капије града. Отишао је због тога код у Пољску да тражи помоћ, али када су га и они одбили.",Какву улогу је имао Роман Велики у политичким сукобима и династичким поделама у Галичкој кнежевини након смрти Јарослава Осмомисла?,
