Language,Language Code,Articles,Active Users,Depth
English,en,6900583,118577,1276
German,de,2953374,16993,93
French,fr,2643246,17151,266
Swedish,sv,2596630,2026,17
Dutch,nl,2170101,3560,19
Russian,ru,2005941,8629,158
Spanish,es,1985820,14311,197
Italian,it,1888028,7079,189
Polish,pl,1631773,4194,34
Chinese,zh,1448171,7074,210
Japanese,ja,1434580,12753,90
Ukrainian,uk,1350199,3167,59
Vietnamese,vi,1294868,1502,727
Arabic,ar,1243669,4958,274
Portuguese,pt,1135770,8438,198
Persian,fa,1016778,4310,152
Catalan,ca,761723,1232,40
Indonesian,id,708236,2729,138
Serbian,sr,696128,711,172
Korean,ko,688383,2017,166
Norwegian,no,637172,1137,47
Turkish,tr,623270,2267,183
Chechen,ce,601396,43,8
Finnish,fi,582253,1511,38
Czech,cs,555293,2183,50
Hungarian,hu,549088,1544,60
Romanian,ro,499845,816,128
Serbo-Croatian,sh,460062,174,748
Basque,eu,446098,559,13
Minnan,zh-min-nan,433389,86,6
Malay,ms,391647,651,19
Hebrew,he,364227,2922,270
Esperanto,eo,360104,326,17
Armenian,hy,313361,404,63
Danish,da,302860,759,57
Bulgarian,bg,300941,626,28
Uzbek,uz,296223,647,35
Welsh,cy,281264,116,16
Simple English,simple,258854,1324,60
Slovak,sk,250774,509,23
Estonian,et,248348,508,21
Belarusian,be,247133,250,23
South Azerbaijani,azb,243744,97,5
Greek,el,241506,933,55
Kazakh,kk,237943,240,15
Minangkabau,min,227890,69,7
Croatian,hr,222887,444,18
Lithuanian,lt,219736,367,30
Galician,gl,215545,252,27
Urdu,ur,213609,241,101
Azerbaijani,az,199873,591,48
Slovenian,sl,187120,377,31
Georgian,ka,176011,240,30
Norwegian Nynorsk,nn,171509,181,14
Tamil,ta,168725,269,42
Thai,th,167698,1180,337
Hindi,hi,163363,1165,243
Bangla,bn,159298,980,296
Macedonian,mk,147157,213,76
Cantonese,zh-yue,142350,284,10
Latin,la,139551,163,14
Asturian,ast,136740,117,10
Latvian,lv,130512,287,72
Afrikaans,af,119310,207,37
Tajik,tg,113982,77,10
Burmese,my,108441,115,5
Telugu,te,100780,182,80
Albanian,sq,100304,249,37
Marathi,mr,98268,147,38
Malagasy,mg,98256,48,10
Bosnian,bs,93958,155,84
Occitan,oc,90132,104,10
